DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-12-14";"19:30:00";"Trabzonspor - Besiktas JK";"Double Chance: Trabzonspor/Draw";"1.73";"200";"won";"146";"My bets";"Football";"Coolbet"
"2025-12-14";"17:16:00";"FC Bayern München - 1. FSV Mainz 05";"Asian Handicap 0 - 1.5: FC Bayern München -1.5";"1.84";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-12-14";"16:12:00";"Olympique Lyonnais - Le Havre AC";"Match Result (1X2): Olympique Lyonnais";"1.91";"350";"won";"319";"My bets";"Football";"Coolbet"
"2025-12-14";"15:31:00";"TVN - Koll";"Set Handicap (2 Way) 0 - 1.5: TVN -1.5";"1.94";"300";"cashed out";"-300";"My bets";"Football";"Coolbet"
"2025-12-14";"13:46:00";"Crystal Palace - Manchester City";"Manchester City Total Goals 1.5: Over 1.5";"1.76";"300";"won";"228";"My bets";"Football";"Coolbet"
"2025-12-14";"13:44:00";"NTNUI - BK Tromsø";"Match Winner: BK Tromsø";"2.07";"350";"won";"375";"My bets";"Football";"Coolbet"
"2025-12-13";"20:33:00";"FaZe - Natus Vincere";"Match Winner (2-way): FaZe";"2.10";"300";"won";"330";"My bets";"Football";"Coolbet"
"2025-12-13";"20:33:00";"Saint-Étienne - SC Bastia";"Match Result (1X2): Saint-Étienne";"1.73";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-12-13";"18:12:00";"Arsenal - Wolverhampton";"Asian Handicap 0 - 1: Arsenal -1";"1.55";"350";"won";"193";"My bets";"Football";"Coolbet"
"2025-12-13";"16:58:00";"Team Spirit - Team Vitality";"Match Winner (2-way): Team Vitality";"3.38";"300";"won";"714";"My bets";"Football";"Coolbet"
"2025-12-13";"15:40:00";"Levadiakos - Athlitiki Enosi Larissa";"Match Result (1X2): Levadiakos";"3.04";"500";"lost";"-500";"My bets";"Football";"Coolbet"
